id,title,description,publishTime,kind_stats,duration_seconds,video_type,viewCount,likeCount,commentCount,thumbnails.default.url,thumbnails.medium.url,thumbnails.high.url,contentDetails.duration,contentDetails.dimension,topicDetails.topicCategories,snippet.defaultLanguage,localizations.en.title,localizations.en.description,snippet.tags,pull_date
8vMBNmwSV1I,Best caption wins! 🤔,,2025-11-24T09:21:27Z,youtube#video,58,short,3705816,192922,18421,https://i.ytimg.com/vi/8vMBNmwSV1I/default.jpg,https://i.ytimg.com/vi/8vMBNmwSV1I/mqdefault.jpg,https://i.ytimg.com/vi/8vMBNmwSV1I/hqdefault.jpg,PT58S,2d,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Sport']",es,N/A,N/A,N/A,2026-06-17 13:13:18.890714+00:00
KewakhYqrts,My FULL Interview With Piers Morgan,,2025-11-07T18:36:59Z,youtube#video,4703,long,2249598,105553,10826,https://i.ytimg.com/vi/KewakhYqrts/default.jpg,https://i.ytimg.com/vi/KewakhYqrts/mqdefault.jpg,https://i.ytimg.com/vi/KewakhYqrts/hqdefault.jpg,PT1H18M23S,2d,"['https://en.wikipedia.org/wiki/Association_football', 'https://en.wikipedia.org/wiki/Society']",es,N/A,N/A,N/A,2026-06-17 13:13:18.890722+00:00
vNCB18QnrVA,E-Sports it's the future!,,2025-11-06T12:01:48Z,youtube#video,50,short,1986228,79711,4196,https://i.ytimg.com/vi/vNCB18QnrVA/default.jpg,https://i.ytimg.com/vi/vNCB18QnrVA/mqdefault.jpg,https://i.ytimg.com/vi/vNCB18QnrVA/hqdefault.jpg,PT50S,2d,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],es,N/A,N/A,N/A,2026-06-17 13:13:18.890729+00:00
w702Y4k841c,One Of The Happiest Moments Of My Life,,2025-11-05T12:30:57Z,youtube#video,43,short,1790408,71869,2522,https://i.ytimg.com/vi/w702Y4k841c/default.jpg,https://i.ytimg.com/vi/w702Y4k841c/mqdefault.jpg,https://i.ytimg.com/vi/w702Y4k841c/hqdefault.jpg,PT43S,2d,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)'],es,N/A,N/A,N/A,2026-06-17 13:13:18.890735+00:00
H3m1HmfXY3A,Everything Revealed - ⁠My Most Personal Interview 1/2,"A deep conversation with my friend @PiersMorganUncensored talking about life, business, family & football",2025-11-04T14:00:06Z,youtube#video,2353,long,4641329,259909,15502,https://i.ytimg.com/vi/H3m1HmfXY3A/default.jpg,https://i.ytimg.com/vi/H3m1HmfXY3A/mqdefault.jpg,https://i.ytimg.com/vi/H3m1HmfXY3A/hqdefault.jpg,PT39M13S,2d,['https://en.wikipedia.org/wiki/Sport'],en,Everything Revealed - ⁠My Most Personal Interview 1/2,"A deep conversation with my friend @PiersMorganUncensored talking about life, business, family & football",N/A,2026-06-17 13:13:18.890743+00:00
3xxW-tUQdGI,We Did It Again...,"No filters. No scripts. Just us. 
Coming soon with my friend @PiersMorganUncensored",2025-11-03T14:00:09Z,youtube#video,48,short,980282,98897,5037,https://i.ytimg.com/vi/3xxW-tUQdGI/default.jpg,https://i.ytimg.com/vi/3xxW-tUQdGI/mqdefault.jpg,https://i.ytimg.com/vi/3xxW-tUQdGI/hqdefault.jpg,PT48S,2d,['https://en.wikipedia.org/wiki/Entertainment'],en,We Did It Again...,"No filters. No scripts. Just us. 
Coming soon with my friend @PiersMorganUncensored",N/A,2026-06-17 13:13:18.890750+00:00
FvlNhQZO39c,We did it again...,"No filters. No scripts. Just us. 
Coming soon with my friend @PiersMorganUncensored",2025-11-03T14:00:23Z,youtube#video,48,short,1842792,97032,3055,https://i.ytimg.com/vi/FvlNhQZO39c/default.jpg,https://i.ytimg.com/vi/FvlNhQZO39c/mqdefault.jpg,https://i.ytimg.com/vi/FvlNhQZO39c/hqdefault.jpg,PT48S,2d,['https://en.wikipedia.org/wiki/Entertainment'],en,We did it again...,"No filters. No scripts. Just us. 
Coming soon with my friend @PiersMorganUncensored",N/A,2026-06-17 13:13:18.890757+00:00
bJr7zezj9iA,I see you @IShowSpeed 👀,,2025-10-18T21:39:48Z,youtube#video,41,short,6333370,333288,12228,https://i.ytimg.com/vi/bJr7zezj9iA/default.jpg,https://i.ytimg.com/vi/bJr7zezj9iA/mqdefault.jpg,https://i.ytimg.com/vi/bJr7zezj9iA/hqdefault.jpg,PT41S,2d,['https://en.wikipedia.org/wiki/Sport'],pt-PT,N/A,N/A,N/A,2026-06-17 13:13:18.890763+00:00
ARzb2K2FFwk,Live: FIP Silver Lisboa Racket Centre 2025 finals,"Welcome to the livestream of the FIP Silver, hosted at my Padel club, Lisboa Racket Centre! 🎾✨

Join me for an exciting day of world-class padel, featuring top players competing in thrilling matches on our courts. 

Whether you’re watching live from Lisbon or tuning in from anywhere around the world, this is your chance to experience the action, energy, and passion of international padel.",2025-09-21T19:41:41Z,youtube#video,12383,long,612737,27890,713,https://i.ytimg.com/vi/ARzb2K2FFwk/default.jpg,https://i.ytimg.com/vi/ARzb2K2FFwk/mqdefault.jpg,https://i.ytimg.com/vi/ARzb2K2FFwk/hqdefault.jpg,PT3H26M23S,2d,"['https://en.wikipedia.org/wiki/Sport', 'https://en.wikipedia.org/wiki/Tennis']",en,Live: FIP Silver Lisboa Racket Centre 2025 finals,"Welcome to the livestream of the FIP Silver, hosted at my Padel club, Lisboa Racket Centre! 🎾✨

Join me for an exciting day of world-class padel, featuring top players competing in thrilling matches on our courts. 

Whether you’re watching live from Lisbon or tuning in from anywhere around the world, this is your chance to experience the action, energy, and passion of international padel.",N/A,2026-06-17 13:13:18.890771+00:00
2V3s_d3MCE4,Live: FIP Silver Lisboa Racket Centre 2025 Semifinals,"Welcome to the livestream of the FIP Silver, hosted at my Padel club, Lisboa Racket Centre! 🎾✨

Join me for an exciting day of world-class padel, featuring top players competing in thrilling matches on our courts. 

Whether you’re watching live from Lisbon or tuning in from anywhere around the world, this is your chance to experience the action, energy, and passion of international padel.",2025-09-21T16:24:41Z,youtube#video,27411,long,315711,22693,143,https://i.ytimg.com/vi/2V3s_d3MCE4/default.jpg,https://i.ytimg.com/vi/2V3s_d3MCE4/mqdefault.jpg,https://i.ytimg.com/vi/2V3s_d3MCE4/hqdefault.jpg,PT7H36M51S,2d,"['https://en.wikipedia.org/wiki/Sport', 'https://en.wikipedia.org/wiki/Tennis']",en,Live: FIP Silver Lisboa Racket Centre 2025 Semifinals,"Welcome to the livestream of the FIP Silver, hosted at my Padel club, Lisboa Racket Centre! 🎾✨

Join me for an exciting day of world-class padel, featuring top players competing in thrilling matches on our courts. 

Whether you’re watching live from Lisbon or tuning in from anywhere around the world, this is your chance to experience the action, energy, and passion of international padel.",N/A,2026-06-17 13:13:18.890778+00:00
